Seg;DateTime;gps_Lat;gps_Long;DayOfWeek;T;S;V;V_m;V_r;FuelR;FuelR_r;FuelRate_std;V_std;Acc;Dcc;Acc_std;Acc_2;Idle_p;Acc_p;Cru_p;Cre_p;Dcc_p;V_i;V_f;File
24.0;2017-09-18 13:34:28;45.57828315;-73.61811843;0;41.0;100.51996486722221;8.826143256634147;10.73846135;8.826143256634147;1.0;1.0;0.0;0.8609812335584666;0.03727077543859649;-0.039698324494949484;0.04497443812553421;0.0019896045570818722;0.0;0.0;0.0;1.0;0.0;10.73846135;10.42820459;281440
25.0;2017-09-18 13:35:09;45.57655855;-73.61417549;0;26.0;97.88492499722223;13.553297307307693;14.64543109;13.553297307307693;1.0;1.0;0.0;1.317390211841213;0.06222259444444444;-0.007519844047619022;0.04410320016587003;0.0037578171783441833;0.0;0.0;0.0;1.0;0.0;10.69731318;14.49472998;281440
26.0;2017-09-18 13:35:35;45.57486069;-73.61035263;0;26.0;102.59392681666667;14.205312943846154;14.54533132;14.205312943846154;1.0;1.0;0.0;0.2009235776061878;0.016706060606060644;-0.011314049259259286;0.015853992615649834;0.00024197407146863277;0.0;0.0;0.0;1.0;0.0;14.46687797;14.54533132;281440
27.0;2017-09-18 13:36:01;45.57309799;-73.60633086;0;6.0;24.513086091666665;14.707851654999999;14.77240811;14.707851654999999;1.0;1.0;0.0;0.06305676246726412;0.010512814351851849;0.0;0.0053599910524964635;0.00013446051899887064;0.0;0.0;0.0;1.0;0.0;14.60812834;14.77240811;281440
28.0;2017-09-18 14:49:01;45.52908294;-73.65968086;0;32.0;97.68068662;10.98907724475;13.68272925;10.98907724475;1.0;1.0;0.0;1.4112984501487966;0.15928304999999998;-0.10003971795454544;0.21120129608228125;0.04813178898898868;0.0;0.28125;0.0;0.53125;0.1875;8.526180448;13.68272925;50150
29.0;2017-09-18 14:49:33;45.52780324;-73.65555374;0;49.0;102.20461689555555;7.508910629061225;15.84979658;7.508910629061225;1.0;1.0;0.0;3.7852637982099293;0.09573398463541667;-0.1148015407070707;0.14516716254165551;0.022764519298369486;0.0;0.16326530612244897;0.0;0.6122448979591837;0.22448979591836735;14.14949266;5.558583729;50150
30.0;2017-09-18 14:50:22;45.52586548;-73.65223958;0;41.0;96.65814232194444;8.487056399;15.51855673;8.487056399;1.0;1.0;0.0;3.1370273385235845;0.13655237227011494;-0.09944663574074074;0.13204404789076093;0.02156385312479294;0.0;0.4878048780487805;0.0;0.34146341463414637;0.17073170731707318;5.476630908;15.51855673;50150
31.0;2017-09-18 14:51:03;45.52283387;-73.65334962;0;25.0;101.59851311666667;14.6301858888;15.68033732;14.6301858888;1.0;1.0;0.0;0.8825957741937325;0.04493905277777759;-0.031984248032407396;0.02116236696175243;0.0012655648627307716;0.0;0.0;0.0;1.0;0.0;15.68033732;12.91689829;50150
32.0;2017-09-18 14:51:28;45.51979195;-73.65513433;0;26.0;100.26666043611111;13.883076060384614;17.38646935;13.883076060384614;1.0;1.0;0.0;1.6248866269317075;0.08912733148148146;-0.15054716313131308;0.1809863104231212;0.031646833439043495;0.0;0.15384615384615385;0.0;0.6153846153846154;0.23076923076923078;12.84835825;11.76810653;50150
33.0;2017-09-18 14:51:54;45.51683737;-73.65705091;0;30.0;99.52657938611111;11.943189526333333;14.21342406;11.943189526333333;1.0;1.0;0.0;1.155418907623191;0.08637308846153843;-0.07853327973856208;0.10145247972751964;0.009999558191702148;0.0;0.13333333333333333;0.0;0.6333333333333333;0.23333333333333334;12.24204956;11.00413035;50150
